,open,high,low,close,volume
2021-10-18,69.8767,70.1280,68.2184,68.6371,2627698
2021-10-19,69.0810,69.4831,68.5199,68.9889,1799960
2021-10-20,68.7712,69.3909,67.4311,68.6371,2505983
2021-10-21,67.7326,69.2067,67.5483,68.4529,1947220
2021-10-22,68.5701,69.4412,68.2435,68.7712,1799034
2021-10-25,68.7209,70.2034,68.6120,69.4244,2961272
2021-10-26,69.8935,70.3541,69.3407,69.6003,2158418
2021-10-27,69.2234,70.4379,68.7795,70.0024,2377338
2021-10-28,69.2821,70.2285,69.0978,70.2285,1973605
2021-10-29,69.7176,71.8868,69.2653,71.8115,4375140
2021-11-01,72.0292,73.3442,71.8617,72.8500,2310725
2021-11-02,72.6155,73.0929,71.7612,72.9421,2397959
2021-11-03,72.4480,73.1432,71.9203,72.8919,2104363
2021-11-04,73.0510,73.9053,69.9353,72.8668,4333947
2021-11-05,72.3307,73.7546,72.2470,73.3609,2613344
2021-11-08,73.0175,73.4363,72.5150,73.0594,1463678
2021-11-09,72.9924,73.9221,72.9254,73.2185,1771670
2021-11-10,73.2772,74.0393,72.5653,73.7797,2569079
2021-11-11,73.6206,74.2487,73.0510,73.1683,2856079
2021-11-12,73.3442,73.7546,72.9589,73.6122,1906236
2021-11-15,73.5117,74.7178,73.4112,74.3995,1832852
2021-11-16,74.7178,75.2287,74.1566,74.7178,2375510
2021-11-17,74.8099,75.2873,74.3660,74.8936,2028790
2021-11-18,75.2957,76.7446,75.1030,76.1332,3138791
2021-11-19,76.2170,76.5687,74.5921,75.2035,4505494
2021-11-22,75.1282,76.6022,75.0444,76.1918,2522957
2021-11-23,75.3794,76.3845,75.0779,75.4129,2383331
2021-11-24,75.4883,75.5972,73.3609,74.0142,3062917
2021-11-25,74.5251,74.7094,73.5452,74.0226,1273094
2021-11-26,71.1917,71.6774,68.8884,69.6506,6383596
2021-11-29,70.5803,70.8148,68.9722,69.3491,3847583
2021-11-30,68.4613,70.2285,67.3641,69.5166,5932984
2021-12-01,70.5970,72.9003,69.8767,72.5234,4178344
2021-12-02,71.5853,73.1432,71.2754,72.1213,3785417
2021-12-03,72.8333,73.0929,71.1247,71.7193,3390481
2021-12-06,72.5401,72.8249,70.8650,71.5853,2809101
2021-12-07,72.7663,73.3107,72.3140,72.7076,3734703
2021-12-08,72.7076,72.7998,70.5468,71.8785,3325880
2021-12-09,72.0711,73.2520,71.3592,72.1800,3457043
2021-12-10,73.2000,75.3100,71.0100,74.2500,7213204
2021-12-13,74.7200,76.1100,73.9900,74.0000,4680761
2021-12-14,73.0000,73.7400,71.4700,71.4700,4265644
2021-12-15,71.8100,72.4000,71.0900,71.1200,2931838
2021-12-16,72.5200,72.9600,71.0200,71.7400,3421998
2021-12-17,70.3900,70.6500,68.5400,68.7500,7737176
2021-12-20,66.7000,67.8200,66.4800,67.3000,4786790
2021-12-21,68.2000,68.8000,67.2900,68.6200,2264407
2021-12-22,68.7000,69.6900,68.1600,69.6900,1839788
2021-12-23,70.2100,70.5300,69.9400,70.0900,1620249
2021-12-27,69.8800,70.1800,69.5000,69.8900,1243078
2021-12-28,69.9300,70.5400,69.4900,69.6000,1494742
2021-12-29,69.6000,69.7500,68.1800,68.2300,2470115
2021-12-30,68.2400,68.5900,67.5900,67.5900,2237979
2022-01-03,68.5000,69.1900,67.8900,68.7000,2654611
2022-01-04,69.4800,72.6300,69.4100,72.1100,4936145
2022-01-05,72.4000,75.0500,72.4000,75.0000,5106683
2022-01-06,73.9300,76.4300,73.5400,74.9100,3602804
2022-01-07,75.0400,75.6800,73.3700,73.5600,2755179
2022-01-10,74.0900,74.4800,72.7800,73.0500,2384947
2022-01-11,73.5400,73.5600,71.9100,72.5400,2488494
2022-01-12,73.4000,74.0400,72.4400,73.4200,2946446
2022-01-13,73.2100,75.6000,73.2000,75.4300,3906108
2022-01-14,74.7200,75.6500,74.4900,74.7900,2448641
2022-01-17,75.1600,75.3200,73.4800,74.2600,1926199
2022-01-18,73.9000,75.2100,72.8100,74.6400,2955090
2022-01-19,74.0900,75.4600,73.6500,74.5000,3104068
2022-01-20,74.0000,74.5300,72.1500,73.2000,3532959
2022-01-21,72.0400,72.0800,71.0000,71.9300,4055043
2022-01-24,71.4800,72.5600,67.8800,68.3000,5020505
2022-01-25,69.2000,69.7800,68.0200,68.8200,3132631
2022-01-26,69.4300,71.0700,69.1700,70.5100,2931917
2022-01-27,69.4600,71.7800,69.3100,71.1500,2960980
2022-01-28,70.8000,70.8000,68.5000,69.8700,3281757
2022-01-31,70.6200,70.8200,69.1900,69.9300,2650761
2022-02-01,70.0000,70.9200,69.7000,70.1600,2186518
2022-02-02,70.3600,70.5600,69.2400,69.4000,2056085
