,open,high,low,close,volume
2021-11-03,2918.0100,2933.3800,2891.8200,2931.9600,1374662
2021-11-04,2942.4900,2994.6700,2926.1600,2965.3500,1920563
2021-11-05,2983.3900,3006.5500,2963.9400,2977.0400,1917737
2021-11-08,2996.5000,3012.2950,2968.6100,2980.6200,1152625
2021-11-09,2984.6600,2996.6900,2944.8950,2978.3700,972092
2021-11-10,2950.0000,2961.4000,2890.7500,2917.8700,1498490
2021-11-11,2929.7900,2950.7100,2912.0100,2915.3300,825874
2021-11-12,2932.3100,2977.0000,2908.2201,2973.5600,1084903
2021-11-15,2978.0100,2990.9900,2951.5000,2969.0400,1175352
2021-11-16,2962.9900,2975.2500,2946.2500,2957.5200,945200
2021-11-17,2960.5500,2971.1900,2944.8000,2960.9400,979975
2021-11-18,2964.8300,3011.6100,2957.6900,2996.7700,1781411
2021-11-19,2999.5088,3019.3300,2977.9800,2978.5300,1684969
2021-11-22,2986.6500,2996.5900,2922.9500,2926.0400,1531460
2021-11-23,2923.0600,2933.2000,2882.3000,2915.6400,1361558
2021-11-24,2909.4700,2924.9850,2887.4600,2922.4000,902007
2021-11-26,2886.9700,2891.1500,2836.8500,2843.6600,1523462
2021-11-29,2880.0000,2925.9500,2877.8700,2910.6100,1629752
2021-11-30,2900.1700,2920.0000,2832.0300,2837.9500,2103361
2021-12-01,2880.0000,2919.0050,2818.2400,2821.0300,1702762
2021-12-02,2825.0000,2877.2900,2804.2900,2859.3200,1459742
2021-12-03,2873.6200,2888.0000,2806.0200,2840.0300,2061508
2021-12-06,2860.8100,2877.0500,2803.0000,2863.1000,1530905
2021-12-07,2911.9300,2950.6234,2904.5500,2945.3900,1612015
2021-12-08,2951.9300,2967.8600,2928.1200,2963.7300,1213516
2021-12-09,2951.8200,2982.0000,2942.3001,2952.7700,1163486
2021-12-10,2974.0000,2979.5500,2934.0750,2960.0300,1223138
2021-12-13,2955.6300,2959.4000,2910.3500,2916.5300,1353470
2021-12-14,2879.3600,2889.6000,2824.2950,2878.1400,1922312
2021-12-15,2868.1800,2934.4200,2833.5578,2928.8200,1818523
2021-12-16,2943.4100,2953.5350,2872.1400,2888.9000,1682519
2021-12-17,2850.0000,2876.6900,2826.0000,2834.5000,2550894
2021-12-20,2800.0000,2835.4900,2786.4200,2832.1400,1359618
